Date,Y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,Unnamed: 66
2016-01-13,7.7844,7.6967,541.589,699.043,72.6607,0.4766,50.6589,75.0598,44.9551,27208.0,5.7469,51841.3,49555.6,70992.2,72628.0,92996.6,725.96,2.6129,695.817,719.927,706.937,0.2123,0.0938,68.3108,0.2973,68.159,0.2898,0.3636,0.4832,0.4864,20.1,4.6,0.347,1294.0,5.8,10.7,2.7,1.47,322.4,368.2,395.8,456.8,510.2,574.2,669.0,707.0,740.4,,56.69,,,199.0,4786.0,1.15,0.0,605.0,2692.0,79.0,614.0,32.73,0.94,4056.0,0.4%,2.4,606.89,
2016-01-14,7.8765,7.7574,540.006,696.812,72.9186,0.4789,50.9193,74.985,44.9909,27059.9,5.761,52504.1,50152.0,70916.1,72047.8,93556.5,726.246,2.5936,693.686,719.808,703.585,0.4711,0.0948,68.4109,0.2975,67.9323,0.293,0.3631,0.4825,0.4877,20.1,4.8,0.348,1296.0,5.6,10.7,4.5,0.74,321.4,367.6,395.4,456.2,509.4,573.6,667.4,705.2,739.2,,,,,,,,,,,,,,,,0.0%,0.0,604.29,
2016-01-15,7.7664,7.44,539.984,702.989,70.112,0.477,50.613,75.1567,44.9831,27043.5,5.7829,50630.9,48910.4,69928.5,70495.7,91527.2,724.923,2.6017,699.995,718.714,712.405,0.4539,0.0941,66.052,0.3055,65.6278,0.3053,0.3628,0.4609,0.4657,20.0,4.8,0.365,1311.0,5.5,13.4,4.2,0.5,320.6,367.6,395.8,457.0,510.6,574.8,669.2,706.8,740.0,,56.55,,,209.0,4763.0,1.14,0.0,633.0,2726.0,36.0,613.0,32.73,0.94,4199.0,0.0%,0.0,605.82,
2016-01-16,7.8691,7.5931,539.974,699.456,71.6711,0.4782,50.4472,75.0766,44.981,27042.7,5.7354,52231.9,47996.9,72512.7,73663.9,92936.6,728.242,2.6103,696.314,722.279,706.7,0.4073,0.0939,67.291,0.3042,66.8624,0.297,0.3605,0.4852,0.4864,20.0,4.7,0.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,606.62,
2016-01-17,7.7859,7.5992,539.973,699.545,71.7395,0.4769,50.6672,74.9331,44.9598,26990.0,5.4898,52770.6,48583.6,73716.3,75201.4,92822.7,730.866,2.6108,696.193,725.014,705.36,0.3392,0.0942,67.4177,0.3021,67.0795,0.2934,0.361,0.4804,0.4825,20.1,5.1,0.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,606.48,
2016-01-18,7.7429,7.6518,539.978,697.864,72.2216,0.4781,51.0839,75.0097,44.9816,27771.7,5.5,51709.4,47663.7,73394.0,75528.0,92693.2,727.642,2.6133,694.515,722.169,703.703,0.145,0.0938,68.1006,0.3007,67.6773,0.2923,0.3633,0.4789,0.4824,20.2,4.6,0.359,1315.0,5.4,10.8,3.7,,,,,,,,,,,69.38,56.91,,0.02,179.0,4737.0,1.15,0.0,640.0,2767.0,33.0,622.0,32.84,0.94,4427.0,0.0%,0.0,606.68,
2016-01-19,7.8588,7.7031,539.979,696.983,72.5847,0.4796,50.9657,75.0279,44.9877,30057.9,5.5866,51297.6,47590.1,72633.0,75351.6,93581.0,724.951,2.6098,693.694,719.645,702.797,0.0845,0.0938,68.4621,0.2997,67.8635,0.2941,0.3637,0.4782,0.4807,20.3,4.5,0.351,1258.0,4.6,9.4,3.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.17,606.29,
2016-01-20,7.8805,7.792,539.973,695.922,73.3085,0.4859,50.6607,75.091,44.9971,30836.6,5.5609,51989.5,49632.8,71510.1,73521.3,93653.1,725.059,2.6113,692.585,719.252,700.752,0.078,0.0943,69.574,0.2912,68.7688,0.2854,0.3651,0.4796,0.4807,20.3,4.5,0.372,1300.0,5.1,10.9,3.3,,314.6,366.2,395.4,457.6,510.6,574.2,667.6,705.6,739.8,,56.18,,,154.0,4752.0,1.13,0.0,626.0,2756.0,64.0,623.0,32.9,0.94,4475.0,0.0%,0.0,605.58,
2016-01-21,7.9485,7.9542,539.961,693.565,74.5472,0.4894,51.9504,75.0812,44.9533,33000.0,5.5661,53158.7,47942.0,72958.1,74156.7,94268.7,724.672,2.6,690.309,718.998,697.943,0.0772,0.0947,70.7212,0.2885,69.5758,0.282,0.3662,0.4856,0.484,20.4,4.3,0.339,1251.0,5.0,12.5,4.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,603.37,
2016-01-22,7.9803,7.977,539.991,693.206,74.8286,0.4881,51.9625,75.0625,44.9869,33000.0,5.7027,51970.0,47573.4,73479.8,76383.7,94176.9,724.011,2.6031,690.093,718.997,697.756,0.1087,0.0948,70.9687,0.286,69.8668,0.2804,0.3643,0.4859,0.4858,20.4,4.3,0.334,1234.0,4.9,10.9,3.7,,,,,,,,,,,,56.12,,,186.0,4770.0,1.13,0.0,589.0,2813.0,90.0,612.0,32.9,0.94,4558.0,0.0%,0.0,604.25,
2016-01-23,8.0032,7.9793,539.978,693.543,74.8674,0.483,51.9208,75.0125,44.9655,33384.7,5.7132,51444.7,47173.2,74555.0,77198.8,94241.2,724.0,2.6047,690.063,719.02,697.082,0.078,0.0947,70.4043,0.2986,69.3891,0.289,0.3634,0.4856,0.4846,20.3,4.4,0.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,604.31,
2016-01-24,8.0829,8.0008,539.976,693.269,75.0651,0.4812,51.6205,75.1461,44.9777,33213.9,5.6901,50984.1,47154.4,76298.8,76427.9,95242.5,724.011,2.5976,689.941,719.448,696.594,0.184,0.0954,70.3077,0.2876,69.7245,0.2823,0.3634,0.4866,0.4856,20.4,4.4,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,604.33,
2016-01-25,7.917,7.9962,539.982,692.873,74.9737,0.4896,50.4995,75.0304,44.9822,38936.1,5.7322,50165.4,47610.1,74695.5,76106.7,94707.1,724.008,2.6016,689.668,719.372,696.215,0.0536,0.0954,70.9079,0.2833,70.0833,0.2781,0.3637,0.4861,0.4863,20.5,4.3,0.341,1245.0,4.8,9.6,4.5,,,,,,,,,,,70.25,56.21,,0.09,178.0,4681.0,1.12,0.0,636.0,2671.0,111.0,603.0,33.34,0.95,4565.0,0.0%,0.0,604.18,
2016-01-26,7.8167,8.0133,539.979,692.094,75.1022,0.4907,50.1867,75.0583,44.9718,36568.5,5.8899,52621.5,49496.8,71987.7,74461.8,94454.4,723.95,2.6046,688.846,718.776,695.125,0.4559,0.0962,70.9882,0.2849,69.9691,0.2791,0.3619,0.4888,0.4837,20.5,4.3,0.329,1210.0,4.8,9.4,4.4,0.37,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,604.08,
2016-01-27,7.67,7.9918,539.975,691.736,74.8969,0.4882,50.6534,75.055,44.9578,34110.3,5.8449,52817.1,48893.7,74167.7,76164.7,94759.6,726.598,2.5997,688.504,720.942,694.753,0.5548,0.0964,70.9144,0.2844,70.2253,0.2777,0.3612,0.4802,0.4721,20.2,4.3,0.337,1211.0,4.7,10.4,4.0,,320.0,367.4,395.4,455.4,508.2,571.6,666.6,706.0,740.4,,56.1,,,162.0,4814.0,1.12,0.0,666.0,2792.0,78.0,632.0,33.15,0.94,4635.0,0.0%,0.0,604.0,
2016-01-28,7.675,7.9179,539.983,692.924,74.2529,0.4851,50.3942,75.0225,44.9932,33368.7,5.5479,52123.8,48704.6,75905.8,77795.6,95694.5,730.146,2.5932,689.428,724.772,695.507,0.2128,0.0957,70.5623,0.2866,69.7651,0.2795,0.3614,0.474,0.4614,20.2,4.3,0.351,1237.0,5.1,10.6,3.9,0.59,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,604.44,
2016-01-29,7.783,8.0213,539.978,691.829,75.0411,0.484,50.4609,75.06,44.9699,30433.6,5.8497,52683.1,49438.5,76225.1,78636.5,95510.6,727.797,2.5916,688.327,722.27,694.488,0.1339,0.096,71.0364,0.287,70.2232,0.278,0.362,0.4692,0.4578,20.1,4.5,0.401,1251.0,5.3,11.1,4.1,,,,,,,,,,,,55.14,,,167.0,4730.0,1.12,0.0,620.0,2723.0,77.0,593.0,32.7,0.93,4607.0,0.0%,0.0,602.95,
2016-01-30,7.7692,8.0403,539.978,691.816,75.2809,0.4896,50.4672,75.0711,44.963,29132.7,5.9714,53238.2,49747.1,75216.8,77892.5,94771.1,725.945,2.5999,688.448,720.376,694.742,0.2144,0.0966,71.2999,0.2866,70.3377,0.2772,0.3616,0.4735,0.4622,20.2,4.5,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,603.45,
2016-01-31,7.7751,7.9659,539.987,692.237,74.5606,0.4818,51.5897,75.0123,44.9801,33580.4,5.9511,52894.4,48739.4,76379.9,77810.1,95454.0,726.425,2.5896,688.829,720.857,695.554,0.1809,0.0959,70.8046,0.2894,69.8741,0.2822,0.3623,0.467,0.4613,20.0,4.5,0.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,603.25,
2016-02-01,7.7382,7.8974,539.984,692.152,74.0575,0.4824,50.9975,75.0122,44.959,32980.0,5.9756,52506.8,48562.3,75517.4,77843.4,95525.5,725.872,2.5933,688.681,720.323,695.877,0.1102,0.0951,70.6257,0.2918,69.7264,0.2842,0.3631,0.4672,0.4626,20.0,4.5,0.371,1236.0,5.4,11.6,4.3,,,,,,,,,,,72.19,55.68,,0.06,193.0,4707.0,1.12,0.0,597.0,2655.0,35.0,594.0,33.09,0.95,4648.0,0.0%,0.0,604.22,
2016-02-02,7.8881,7.9257,539.972,692.441,74.5061,0.4844,50.6577,75.1101,44.9589,33706.3,5.9308,52303.5,48814.9,74873.9,77840.0,95522.3,724.84,2.5954,689.102,719.471,696.425,0.1253,0.0955,70.7928,0.2896,69.8219,0.2827,0.3626,0.4735,0.4679,20.2,4.5,0.358,1263.0,5.0,10.8,3.6,0.75,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,604.71,
2016-02-03,8.2158,8.069,539.971,691.634,75.8481,0.4922,51.0695,75.0294,44.9759,33646.6,5.7697,52296.4,48426.0,73916.9,77288.0,95062.5,724.607,2.6006,688.32,719.424,695.105,0.1707,0.0952,71.4721,0.2881,70.2404,0.2777,0.3621,0.4733,0.4687,19.9,4.5,0.391,1315.0,4.8,10.6,4.0,,318.6,366.2,394.4,455.8,508.8,573.2,668.6,707.0,740.6,,55.67,,,188.0,4797.0,1.12,0.0,612.0,2744.0,82.0,606.0,33.06,0.95,4725.0,0.0%,0.0,604.18,
2016-02-04,8.2135,8.1011,539.982,691.047,76.2182,0.4908,50.4353,75.0496,44.9745,33723.5,5.7696,52729.3,48999.3,74184.4,76640.1,95294.1,725.147,2.5975,687.744,719.799,694.127,0.1637,0.0958,71.5059,0.2798,70.5259,0.2728,0.3624,0.4708,0.4702,20.0,4.1,0.34,1290.0,4.5,9.8,3.5,0.64,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,604.15,
2016-02-05,8.1919,8.105,539.981,691.05,76.1877,0.4865,51.046,75.1031,44.9803,33396.2,5.765,52495.0,48542.2,74661.8,76890.6,95407.9,724.842,2.5918,687.688,719.531,694.11,0.1799,0.0959,71.2959,0.2852,70.258,0.278,0.3631,0.4702,0.468,19.9,4.2,0.337,1281.0,4.5,10.0,4.7,,,,,,,,,,,,55.47,,,200.0,4769.0,1.11,0.0,599.0,2764.0,59.0,612.0,32.77,0.93,4724.0,0.0%,0.0,603.73,
2016-02-06,8.1547,8.105,539.98,690.984,76.2522,0.4875,51.0164,75.0248,44.9775,33588.8,5.7828,53164.7,49549.2,74570.3,76781.8,95102.5,725.089,2.599,687.632,719.813,693.681,0.1359,0.096,71.6406,0.2843,70.4615,0.2764,0.3623,0.4704,0.4705,19.9,4.3,0.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,603.93,
2016-02-07,7.9806,8.1071,539.974,690.373,76.2964,0.4896,51.28,75.0659,44.9861,33444.3,5.7604,52529.8,48701.3,73939.1,76276.6,94874.6,723.208,2.5988,687.064,718.115,692.618,0.2615,0.0966,71.5988,0.2865,70.2747,0.2796,0.3626,0.4748,0.4719,20.0,4.2,0.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,604.22,
2016-02-08,7.7065,8.066,539.971,690.324,75.9076,0.4945,49.989,75.0242,44.9511,33596.1,5.5658,53222.1,50356.2,71496.4,74204.1,94708.6,723.011,2.6019,687.105,717.735,692.768,0.2525,0.0961,71.7758,0.2832,70.272,0.2777,0.3616,0.4733,0.473,20.0,4.1,0.327,,,,,,,,,,,,,,,70.28,54.91,,0.04,202.0,4803.0,1.11,0.0,596.0,2584.0,54.0,569.0,32.82,0.94,4675.0,0.0%,0.0,604.18,
2016-02-09,7.8904,8.0916,539.976,690.042,76.1163,0.4921,50.672,75.0293,44.9719,33311.3,5.8,52766.2,49132.7,72574.2,75256.8,94432.1,723.024,2.6042,686.871,717.725,692.759,0.2017,0.0958,71.6222,0.2851,70.3073,0.2788,0.3631,0.476,0.4733,20.2,4.1,0.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,604.33,
